QTL Search | OZ Sorghum						
QTL Id	Publication	Population	Trait Description	LG:Start-End (v3.0)	Genes Under QTL (v3.0)	Synteny
QDMGR7.7	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	7:39543566-48379318	51	
QDMGR7.8	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	7:39543566-48379318	51	
QDMGR7.9	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	7:39543566-48379318	51	
QDMGR7.10	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	7:39543566-48379318	51	
QDMGR7.11	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	7:39543566-48379318	51	
QDMGR7.12	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	7:39543566-48379318	51	
QDMGR7.16	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	7:39543566-48379318	51	
QDMGR7.13	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	7:64933285-65460255	68	
QDMGR7.14	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	7:64933285-65460255	68	
QDMGR8.1	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	8:5070472-5070472	1	
QDMGR8.2	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	8:6534264-7311754	39	
QDMGR8.3	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	8:6534264-7311754	39	
QDMGR8.4	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	8:8253530-53262255	553	
QDMGR8.5	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	8:53440188-53920337	7	
QDMGR8.6	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	8:53440188-53920337	7	
QDMGR8.7	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	8:53440188-53920337	7	
QDMGR8.8	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	8:53440188-53920337	7	
QDMGR8.9	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	8:53440188-53920337	7	
QDMGR8.14	Fiedler et al 2016	Diversity set (biomass) (n=194)	Dry matter growth rate	8:55911312-56274683	21	
QDMGR8.10	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	8:57389997-57495495	12	
QDMGR8.11	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	8:57579092-58285925	49	
QDMGR8.12	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	8:61222390-62671469	157	
QDMGR8.15	Fiedler et al 2016	Diversity set (biomass) (n=194)	Dry matter growth rate	8:61222413-61222468	1	
QDMGR8.13	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	8:62306925-62671469	47	
QDMGR9.1	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	9:17133-396010	45	
QDMGR9.2	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	9:17133-396010	45	
QDMGR9.18	Fiedler et al 2016	Pop1	Dry matter growth rate	9:17133-2572152	288	
QDMGR9.19	Fiedler et al 2016	Pop1	Dry matter growth rate	9:1387786-4708572	344	
QDMGR9.3	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	9:1457463-1661303	28	
QDMGR9.4	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	9:1457463-1661303	28	
QDMGR9.5	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	9:3358112-3677034	26	
QDMGR9.6	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	9:3358112-3677034	26	
QDMGR9.7	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	9:8065651-8157491	3	
QDMGR9.26	Fiedler et al 2016	Diversity set (biomass) (n=194)	Dry matter growth rate	9:8079990-8157499	3	
QDMGR9.21	Fiedler et al 2016	Diversity set (biomass) (n=194)	Dry matter growth rate	9:8109829-8157516	3	
QDMGR9.25	Fiedler et al 2016	Diversity set (biomass) (n=194)	Dry matter growth rate	9:8109829-8157516	3	
QDMGR9.22	Fiedler et al 2016	Diversity set (biomass) (n=194)	Dry matter growth rate	9:8157527-8157631	0	
QDMGR9.8	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	9:8157833-9496743	55	
QDMGR9.9	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	9:13245544-43924917	246	
QDMGR9.10	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	9:47755809-47807159	6	
QDMGR9.11	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	9:47755809-47807159	6	
QDMGR9.12	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	9:47755809-47807159	6	
QDMGR9.13	Fiedler et al 2014	Diversity set (biomass) (n=194)	Dry matter growth rate	9:47755915-47858189	11	
