genotype	max_height_cm	max_growth_cm_gdd
PI643016	285.861161352113	0.370706977547765
PI19770	325.472135471762	0.423236314130493
PI329501	342.372874008342	0.339779957770835
PI563330	332.654317225408	0.433102632910004
PI145626	317.991935576849	0.373197771396175
PI329473	257.596586630609	0.337473395229387
PI563021	300.068598239522	0.406584722383736
PI329865	348.949254522633	0.42938111592356
PI152730	335.538159919879	0.41107589255135
PI155516	269.532039953128	0.366748492282448
PI329511	286.409258247887	0.375897281033938
PI156178	292.96752920893	0.311736587515807
PI641821	259.328761870417	0.41365410896215
PI569419	302.488954413066	0.437967340055041
PI563329	294.755115713577	0.400813313103693
PI569097	344.815573502491	0.464202442562453
PI562730	312.8244297324	0.377782629193426
PI329864	291.942392934024	0.33920338679064
PI562971	220.925966621648	0.266600192122896
PI566819	355.513347189293	0.466147939133078
PI218112	222.248018502156	0.443125129883161
PI329300	295.423985093071	0.380557805584242
PI651497	286.849650346477	0.407954458562177
PI585966	278.492033673295	0.30963722161113
PI641862	281.0707484375	0.439586963474663
PI156393	282.192414920789	0.395221719067179
PI329519	316.621443953582	0.368349378657536
PI641810	268.467993801588	0.388764483476049
PI641860	344.48390728589	0.445019867193763
PI329584	308.477342367289	0.432941698845776
PI329699	364.26630794531	0.417763857769126
PI505735	284.488661311472	0.399205916235008
PI569445	264.75519579038	0.376662551058033
PI653616	283.331201811128	0.384726617205012
PI153877	284.392191774719	0.332627197845894
PI563331	278.345341748249	0.387558206619803
PI653617	263.657292498579	0.400165276980635
PI302252	307.297000017522	0.358852052012371
PI92270	346.685837537272	0.511506944290492
PI152862	327.355127302464	0.432838892921802
PI176766	357.272025564247	0.540856645441715
PI655983	274.043113346155	0.35676027297091
PI329301	302.13435571267	0.389784495938221
PI330833	362.637831989129	0.448155844547971
PI330169	302.16407856858	0.478410298283314
PI641830	248.191225310146	0.436967834887395
PI273969	287.682747796635	0.429090728429733
PI452542	360.19284569134	0.428482017899433
PI329510	309.188813719897	0.396715676777706
PI213900	354.596510710228	0.481483577790666
PI152694	274.929098703664	0.416991717182591
